Date of Transaction,Transaction Amount,Account Name,TransactionID,Transaction Type,Location (City),Alert Category,Account Number,Status,Current Balance
2024-06-05,-2492,Account 18397,T149305,Transfer out,South William,Fraud,1460457477,No Risk,0
2024-12-18,-530,Account 106273,T335489,Transfer out,East Marcusstad,Money Laundering,9773758258,No Risk,0
2024-07-19,-4398,Account 96165,T235065,Transfer out,Wilkinsfurt,Fraud,5924157549,No Risk,0
2024-02-03,-724,Account 59092,T758233,Transfer out,Lindahaven,Investment Scam,2342085612,No Risk,0
2024-07-14,-7590,Account 14598,T679996,Transfer out,West Dakotaview,Fraud,3680008327,No Risk,0
2024-10-21,-6315,Account 38423,T947713,Transfer out,North Nancymouth,Money Laundering,7360902029,No Risk,5664
2024-04-29,-7935,Account 17519,T117684,Transfer out,Port Travisbury,Fraud,8123462235,Risk,3614
2024-11-01,-8727,Account 37505,T531205,Transfer out,Smithfurt,Money Laundering,2463833061,No Risk,5068
2024-11-05,-4800,Account 105283,T728774,Transfer out,Williamberg,Money Laundering,1300126190,No Risk,0
2024-10-11,-4922,Account 64841,T286564,Transfer out,Lake Jenniferview,Investment Scam,7112084326,No Risk,0
2024-08-28,-1093,Account 84992,T895707,Transfer out,West Deborah,Investment Scam,7673026866,No Risk,1054
2024-08-27,-1673,Account 14163,T662266,Transfer out,Davismouth,Tax Evasion,3091184568,No Risk,338
2024-08-12,-9083,Account 51836,T407304,Transfer out,Singhside,Money Laundering,8093023131,No Risk,4324
2024-11-27,-8463,Account 82728,T634350,Transfer out,Hernandezborough,Investment Scam,8649143040,No Risk,0
2024-09-06,-7878,Account 29245,T782646,Transfer out,South Tonystad,Money Laundering,2230239468,No Risk,6517
2024-12-14,-982,Account 11148,T173526,Transfer out,Walkerfort,Tax Evasion,8161136381,Risk,0
2024-03-05,-48,Account 10829,T702386,Transfer out,Kristinaland,Fraud,1416104974,No Risk,0
2024-11-11,-6616,Account 95216,T453575,Transfer out,Sotoview,Investment Scam,3824391897,Risk,0
2024-07-19,-7418,Account 90151,T239035,Transfer out,Morrisburgh,Tax Evasion,4656606882,No Risk,6873
2024-07-03,-3004,Account 46856,T787311,Transfer out,Fullermouth,Money Laundering,4388448569,No Risk,780
2024-10-24,-2247,Account 4121,T264470,Transfer out,East Michelle,Investment Scam,2725693638,Risk,0
2024-11-03,-7610,Account 99612,T305187,Transfer out,Lake Maria,Investment Scam,1779247988,No Risk,6508
2024-07-11,-9724,Account 46644,T892671,Transfer out,Olsonbury,Fraud,3499833320,Risk,3753
2024-04-30,-1588,Account 19216,T268640,Transfer out,Millerfort,Investment Scam,9563409809,No Risk,0
2024-05-07,-5115,Account 94706,T547119,Transfer out,Smithstad,Tax Evasion,2519565011,Risk,0
2024-12-05,-9487,Account 23652,T971632,Transfer out,Danielbury,Fraud,4766303389,No Risk,5269
2024-02-02,-4630,Account 16754,T746920,Transfer out,Sarafurt,Investment Scam,3404798091,No Risk,0
2025-01-09,-858,Account 100117,T655852,Transfer out,Lake Ashleymouth,Fraud,4230683739,No Risk,0
2024-08-15,-9311,Account 93961,T912973,Transfer out,Humphreyport,Fraud,8412698376,Risk,7021
2024-06-22,-5194,Account 33618,T775550,Transfer out,New Ronniefort,Money Laundering,3136949828,No Risk,0
2024-06-10,-9038,Account 26561,T377636,Transfer out,Jennifermouth,Tax Evasion,3474923832,No Risk,6132
2024-04-17,-1169,Account 11451,T652617,Transfer out,Port Meghan,Investment Scam,6004694717,No Risk,0
2024-10-14,-4619,Account 57346,T753275,Transfer out,West Ericside,Investment Scam,6453137171,No Risk,3409
2024-10-27,-6180,Account 42225,T975780,Transfer out,Dominiqueport,Tax Evasion,5208474530,No Risk,2828
2024-02-03,-5706,Account 55064,T955667,Transfer out,Shirleyside,Fraud,6492694550,No Risk,4646
2024-11-13,-4299,Account 60203,T679169,Transfer out,Fergusonhaven,Tax Evasion,9369700782,No Risk,0
2024-07-25,-115,Account 83357,T768853,Transfer out,Kellystad,Investment Scam,3642773636,Risk,0
2024-09-01,-2577,Account 20807,T898160,Transfer out,North Karen,Money Laundering,8555139627,No Risk,0
2024-05-03,-9537,Account 11132,T388498,Transfer out,North Hollyhaven,Money Laundering,6629352519,No Risk,9052
2024-08-17,-7923,Account 36376,T110132,Transfer out,Carolmouth,Fraud,2859242941,No Risk,5379
2024-09-07,-4309,Account 7492,T623843,Transfer out,Jeremymouth,Tax Evasion,3958647608,No Risk,0
2024-06-26,-7367,Account 29222,T729827,Transfer out,Aaronville,Money Laundering,6562900852,Risk,0
2025-01-09,-9041,Account 39100,T780028,Transfer out,Brennanview,Tax Evasion,6479275081,Risk,2715
2024-10-04,-4349,Account 19625,T218337,Transfer out,Ramirezton,Money Laundering,8876686251,No Risk,3147
2024-12-11,-5163,Account 29862,T322275,Transfer out,Jacksonshire,Investment Scam,5019306420,Risk,0
2024-05-07,-1666,Account 106615,T439766,Transfer out,Kimberlyshire,Money Laundering,9474797609,No Risk,0
2024-04-11,-1238,Account 62582,T501718,Transfer out,New Kimberly,Fraud,3052661071,No Risk,0
2024-02-20,-3722,Account 19443,T429986,Transfer out,Jonesview,Fraud,9907058984,No Risk,0
2024-05-18,-3526,Account 619,T189259,Transfer out,Lake Matthewbury,Investment Scam,4609037646,No Risk,0
2024-02-02,-3557,Account 96416,T633203,Transfer out,East Paulbury,Investment Scam,3334510646,No Risk,176
2024-07-31,-2553,Account 85517,T480039,Transfer out,Smithtown,Investment Scam,5009974629,No Risk,0
2024-04-19,-5280,Account 59674,T866880,Transfer out,Dixonmouth,Money Laundering,3698220692,No Risk,1731
2024-03-21,-1535,Account 79535,T787432,Transfer out,North Scott,Tax Evasion,3973226579,No Risk,630
2024-05-14,-3855,Account 14847,T416788,Transfer out,New Kelsey,Investment Scam,9055624474,No Risk,0
2024-02-26,-8939,Account 98240,T533324,Transfer out,New Michaelfurt,Fraud,3421975525,No Risk,3339
2024-11-15,-5659,Account 107116,T208719,Transfer out,Johnberg,Tax Evasion,4075927040,Risk,0
2024-07-21,-498,Account 10373,T292625,Transfer out,Bradyburgh,Investment Scam,5555893388,No Risk,0
2024-02-06,-6586,Account 64078,T863745,Transfer out,East Darren,Money Laundering,9223984726,No Risk,0
2024-02-20,-1055,Account 32082,T520505,Transfer out,Amberton,Investment Scam,7458220149,No Risk,0
2024-02-27,-5451,Account 46693,T635249,Transfer out,Johnfurt,Tax Evasion,8078152555,Risk,1588
2024-10-09,-3897,Account 27832,T637185,Transfer out,Dunnstad,Fraud,2614851121,No Risk,1078
2024-05-27,-4150,Account 78790,T625804,Transfer out,Lake Mary,Investment Scam,9580805777,No Risk,3182
2024-09-16,-2242,Account 8859,T573683,Transfer out,Bradybury,Money Laundering,5466811706,No Risk,0
2024-10-03,-6922,Account 51945,T552674,Transfer out,Katherineport,Money Laundering,9969604067,Risk,0
2024-06-12,-4106,Account 92317,T612756,Transfer out,South Brianna,Investment Scam,7877156655,No Risk,0
2024-08-27,-3242,Account 92632,T215515,Transfer out,Port Stephen,Investment Scam,8284567579,No Risk,0
2024-03-12,-8330,Account 31042,T950947,Transfer out,East Amanda,Investment Scam,5228185020,Risk,7967
2024-03-18,-6045,Account 36020,T661782,Transfer out,North Ashleyfort,Tax Evasion,8569300158,No Risk,0
2024-09-18,-7797,Account 90026,T968095,Transfer out,Destinymouth,Tax Evasion,2424997887,No Risk,2409
2024-07-19,-6141,Account 29562,T968670,Transfer out,Wellsstad,Money Laundering,4673590350,No Risk,5293
2024-10-16,-8375,Account 86980,T990587,Transfer out,Duncanborough,Fraud,6885808115,Risk,5271
2024-10-02,-1055,Account 47149,T933899,Transfer out,South Stephanie,Money Laundering,9986103422,No Risk,0
2024-06-02,-8140,Account 32583,T248242,Transfer out,Ryanburgh,Fraud,2843530985,No Risk,4580
2024-06-07,-7136,Account 88972,T942710,Transfer out,Nixonchester,Tax Evasion,1002806982,No Risk,6523
2024-04-29,-3775,Account 101048,T373817,Transfer out,Jeffreyborough,Tax Evasion,1739079569,No Risk,0
2024-09-10,-9959,Account 33272,T725545,Transfer out,South Sherry,Money Laundering,6957505961,Risk,7863
2024-11-28,-1719,Account 95771,T347726,Transfer out,Blakeburgh,Tax Evasion,4690340851,No Risk,0
2024-04-05,-9532,Account 39970,T637741,Transfer out,Breannafurt,Tax Evasion,9383560352,Risk,295
2024-06-05,-9489,Account 58074,T281530,Transfer out,South Rickyborough,Money Laundering,9148413674,No Risk,5973
2024-05-28,-8049,Account 17422,T355074,Transfer out,Roberttown,Investment Scam,1298306917,No Risk,0
2024-12-03,-3407,Account 24788,T952927,Transfer out,Marshberg,Fraud,4880443477,No Risk,0
2024-07-22,-5183,Account 56921,T490139,Transfer out,Ericashire,Tax Evasion,4866637987,No Risk,0
2024-03-17,-7346,Account 11296,T215892,Transfer out,West Michaelchester,Money Laundering,8113447372,No Risk,2168
2025-01-09,-7132,Account 32457,T479877,Transfer out,South Barryberg,Money Laundering,5877994601,No Risk,6491
2024-04-04,-2115,Account 49924,T211062,Transfer out,Francoberg,Investment Scam,6492256419,No Risk,0
2024-08-15,-1337,Account 65610,T622762,Transfer out,Lake Sarah,Tax Evasion,2161969480,Risk,0
2024-10-15,-9804,Account 7362,T318199,Transfer out,South Dawn,Fraud,9564085235,No Risk,3640
2024-07-09,-1357,Account 82302,T831777,Transfer out,Port John,Tax Evasion,5090316545,No Risk,0
2024-04-14,-6127,Account 51645,T642085,Transfer out,Phillipport,Investment Scam,2243834482,Risk,5984
2024-06-07,-1559,Account 18692,T221119,Transfer out,Marthabury,Money Laundering,6945652611,No Risk,160
2024-02-22,-2059,Account 33583,T216383,Transfer out,New Edward,Investment Scam,5638680663,No Risk,0
2024-12-02,-5847,Account 55889,T973277,Transfer out,Benjaminville,Tax Evasion,5922345500,No Risk,4108
2024-12-23,-8695,Account 37949,T542890,Transfer out,Port Brandy,Money Laundering,7346930688,No Risk,4113
2025-01-10,-4931,Account 70438,T477870,Transfer out,New Davidburgh,Tax Evasion,5530207922,No Risk,3538
2024-05-18,-8809,Account 17799,T255803,Transfer out,Sueport,Tax Evasion,2070358895,No Risk,1024
2024-11-05,-3030,Account 4726,T577457,Transfer out,New Joshuamouth,Money Laundering,7814081281,No Risk,0
2024-07-30,-9933,Account 39869,T316623,Transfer out,Lake Mariaburgh,Tax Evasion,4488164447,Risk,1676
2024-11-24,-5956,Account 44478,T884402,Transfer out,Harrisonbury,Investment Scam,1776111448,No Risk,2155
2024-04-06,-6721,Account 46009,T356941,Transfer out,Lake Dustinborough,Tax Evasion,9468524583,No Risk,0
2024-02-09,-356,Account 16577,T142843,Transfer out,Lake Charles,Fraud,3997659986,No Risk,0
2024-08-24,-1184,Account 13022,T986615,Transfer out,Rosariofurt,Money Laundering,1792240504,No Risk,0
2025-01-05,-2702,Account 22502,T969412,Transfer out,Port Daniel,Tax Evasion,3852104847,Risk,1936
2024-10-11,-2362,Account 5074,T967930,Transfer out,South Gabrielamouth,Investment Scam,8380592954,Risk,0
2024-10-04,-9298,Account 96762,T149575,Transfer out,North Jessefort,Money Laundering,9966212731,No Risk,407
2024-10-05,-5119,Account 95160,T585721,Transfer out,New Scott,Investment Scam,3174361484,No Risk,0
2024-06-16,-3371,Account 76174,T544215,Transfer out,Jonesmouth,Tax Evasion,3974601833,No Risk,513
2024-04-28,-1158,Account 15601,T920329,Transfer out,South Rachel,Tax Evasion,3007005880,No Risk,0
2024-07-08,-1908,Account 66277,T343751,Transfer out,Pittmanland,Money Laundering,3654173660,No Risk,0
2024-11-15,-2501,Account 76208,T563985,Transfer out,East Amymouth,Fraud,6299019100,No Risk,0
2024-01-18,-3887,Account 70815,T797125,Transfer out,Danastad,Fraud,8117845598,No Risk,0
2024-09-12,-1549,Account 4260,T492017,Transfer out,Jeffreyberg,Investment Scam,6871233685,No Risk,0
2024-01-27,-3585,Account 79698,T966405,Transfer out,West Angela,Tax Evasion,9620793258,Risk,0
2024-07-08,-1629,Account 71655,T863543,Transfer out,North Leslieborough,Tax Evasion,3600541190,No Risk,0
2024-09-24,-6326,Account 42436,T535797,Transfer out,Harristown,Fraud,6122806873,No Risk,0
2024-10-25,-9238,Account 107222,T133527,Transfer out,Lake Briana,Money Laundering,3270259811,No Risk,8013
2024-10-15,-6191,Account 34356,T894940,Transfer out,South Gregory,Fraud,4514734515,No Risk,2731
2024-02-02,-9256,Account 31707,T508840,Transfer out,Cynthiatown,Money Laundering,8116739353,No Risk,8601
2024-03-18,-9774,Account 98956,T725412,Transfer out,Johnsonton,Investment Scam,8039455763,No Risk,6352
2024-02-12,-5215,Account 38125,T127393,Transfer out,South Kenneth,Fraud,7528970315,No Risk,0
2024-08-24,-1753,Account 62986,T379805,Transfer out,East Ryanside,Money Laundering,6392032071,No Risk,0
2024-12-03,-3134,Account 34224,T145040,Transfer out,Diazberg,Fraud,5762839665,No Risk,0
2024-01-31,-4370,Account 16123,T500183,Transfer out,Mclaughlinton,Money Laundering,3970619216,Risk,0
2024-06-11,-7751,Account 20726,T464775,Transfer out,Meyerville,Tax Evasion,3568276173,No Risk,0
2024-01-27,-5397,Account 52954,T393005,Transfer out,Lake Michaelbury,Fraud,5984512677,No Risk,1667
2024-03-29,-5486,Account 54004,T812058,Transfer out,New Ethan,Money Laundering,9838537820,No Risk,0
2024-09-22,-5433,Account 91146,T605160,Transfer out,Port Ryanton,Fraud,7785105090,No Risk,4997
2024-02-26,-6975,Account 88848,T155944,Transfer out,Port Aaron,Money Laundering,3589138366,No Risk,366
2024-11-08,-7036,Account 87506,T779548,Transfer out,Jenkinsview,Tax Evasion,7885369476,No Risk,0
2024-03-27,-7049,Account 63803,T779234,Transfer out,New William,Tax Evasion,5544643498,No Risk,0
2024-12-01,-9913,Account 76671,T169828,Transfer out,Curtishaven,Investment Scam,8932889279,No Risk,5133
2024-08-09,-516,Account 51106,T704110,Transfer out,Ginatown,Money Laundering,4380360349,No Risk,0
2024-12-29,-5799,Account 43458,T286287,Transfer out,Dawnhaven,Fraud,7819368566,No Risk,3919
2024-07-07,-9860,Account 9625,T587395,Transfer out,Jillport,Tax Evasion,9165937908,Risk,1817
2025-01-15,-4731,Account 46234,T752504,Transfer out,Claudiaport,Fraud,8205284624,Risk,4006
2024-06-16,-2999,Account 4497,T257592,Transfer out,Christinestad,Tax Evasion,6492161643,No Risk,0
2024-06-03,-300,Account 86416,T161565,Transfer out,Kaylaland,Fraud,7592191747,No Risk,0
2024-09-11,-325,Account 78483,T755680,Transfer out,New Alicia,Fraud,3903541357,No Risk,0
2024-08-31,-4810,Account 80776,T574792,Transfer out,Morganborough,Money Laundering,1619947923,Risk,0
2024-04-18,-945,Account 72333,T903250,Transfer out,Princeland,Tax Evasion,3126366396,Risk,0
2024-06-16,-2216,Account 96903,T977252,Transfer out,North Gregorymouth,Investment Scam,6964712920,No Risk,0
2024-05-18,-4798,Account 45213,T699053,Transfer out,Lake Emilyburgh,Fraud,1341389429,Risk,1497
2024-01-21,-2657,Account 23980,T584849,Transfer out,Zimmermanside,Money Laundering,5225056346,No Risk,0
2024-08-27,-5202,Account 52223,T873113,Transfer out,New Rebekahstad,Money Laundering,3364601312,No Risk,2383
2024-08-28,-3251,Account 30954,T829697,Transfer out,South Carrieshire,Tax Evasion,1304455433,No Risk,0
2024-08-15,-6304,Account 62427,T263441,Transfer out,Michaeltown,Investment Scam,4405573612,No Risk,5152
2024-02-06,-360,Account 26328,T604765,Transfer out,Thomashaven,Money Laundering,4793041437,No Risk,0
2024-11-01,-159,Account 71328,T846082,Transfer out,New Jeffrey,Tax Evasion,5043339365,No Risk,0
2024-07-20,-4520,Account 32897,T308911,Transfer out,Smithberg,Fraud,2694855421,No Risk,1916
2024-10-26,-1868,Account 33211,T606070,Transfer out,Lake Robinton,Investment Scam,1418104361,Risk,0
2024-02-26,-1620,Account 68522,T241765,Transfer out,Courtneymouth,Fraud,5977367081,Risk,0
2024-10-31,-5477,Account 45388,T728386,Transfer out,Justintown,Tax Evasion,8156953413,No Risk,0
2024-09-10,-8653,Account 14738,T375951,Transfer out,Port Matthew,Investment Scam,8212298161,No Risk,920
2024-10-03,-1580,Account 102,T572512,Transfer out,East Robert,Money Laundering,9955032507,No Risk,0
2024-07-27,-7376,Account 94638,T454318,Transfer out,Jacksonbury,Money Laundering,8677317843,No Risk,985
2024-02-25,-6722,Account 106076,T870056,Transfer out,New Jenniferstad,Fraud,1698816933,No Risk,0
2024-11-03,-7971,Account 105417,T202077,Transfer out,Georgeborough,Money Laundering,4145424058,No Risk,1267
2024-02-08,-2943,Account 35784,T620050,Transfer out,East Gregory,Tax Evasion,3468961129,Risk,1588
2024-10-30,-9346,Account 498,T779784,Transfer out,Lake Jamesport,Fraud,1259640178,No Risk,8598
2024-05-30,-3551,Account 3312,T994695,Transfer out,Lake Lisa,Money Laundering,3367433041,No Risk,0
2024-07-27,-6134,Account 72516,T262439,Transfer out,Elizabethhaven,Money Laundering,6504988554,No Risk,0
2024-06-21,-4061,Account 51822,T379461,Transfer out,East Michaelmouth,Fraud,4757596003,No Risk,0
2024-05-31,-8001,Account 86632,T248289,Transfer out,New Tammieberg,Investment Scam,9471654046,Risk,6522
2024-04-22,-3728,Account 59466,T101003,Transfer out,West Allenhaven,Money Laundering,7003786180,No Risk,0
2024-08-06,-4750,Account 105391,T410608,Transfer out,New Barbarafurt,Money Laundering,3513563156,No Risk,0
2024-07-13,-922,Account 16611,T347060,Transfer out,East Trevor,Money Laundering,9017196663,No Risk,0
2024-09-21,-4208,Account 32324,T243676,Transfer out,Kevinmouth,Money Laundering,6711065385,No Risk,0
2024-09-22,-2650,Account 79365,T575429,Transfer out,Ashleyfurt,Money Laundering,8843898450,Risk,2366
2024-07-14,-1433,Account 97343,T765129,Transfer out,Port Amber,Tax Evasion,2468436611,No Risk,0
2024-09-08,-1467,Account 51406,T361845,Transfer out,North James,Investment Scam,2972687405,No Risk,0
2024-03-18,-5825,Account 43652,T821170,Transfer out,West Sierra,Tax Evasion,5237420896,No Risk,0
2024-09-18,-5587,Account 89999,T529031,Transfer out,Mistyfurt,Investment Scam,4360203611,Risk,4551
2024-08-01,-9626,Account 99801,T865770,Transfer out,Christophermouth,Money Laundering,3129389475,No Risk,2442
2024-08-12,-2020,Account 88665,T451548,Transfer out,East Edward,Investment Scam,5478763723,No Risk,0
2024-07-01,-2235,Account 552,T389833,Transfer out,Port Kimberly,Investment Scam,8816727178,No Risk,0
2025-01-15,-7037,Account 17399,T268373,Transfer out,Faithbury,Tax Evasion,4016613419,No Risk,0
2024-06-29,-4677,Account 45102,T278166,Transfer out,Fullerhaven,Fraud,1366679400,No Risk,0
2024-09-24,-367,Account 11121,T502861,Transfer out,South Jeffreyfurt,Tax Evasion,6709319442,No Risk,0
2024-07-20,-9205,Account 102625,T169492,Transfer out,West Pamela,Money Laundering,1800016735,No Risk,4478
2024-05-31,-1386,Account 94118,T777486,Transfer out,East Dawn,Fraud,6888611103,No Risk,0
2024-10-10,-904,Account 62510,T241011,Transfer out,West Shanechester,Tax Evasion,1142738443,No Risk,0
2024-08-12,-4997,Account 70305,T480005,Transfer out,East Kara,Money Laundering,5868334598,Risk,1378
2024-08-07,-2215,Account 22866,T341854,Transfer out,Port Sarafurt,Investment Scam,2435443377,No Risk,0
2024-03-04,-707,Account 105634,T751190,Transfer out,Taylorbury,Tax Evasion,8318634866,No Risk,178
2024-03-14,-4742,Account 16383,T799502,Transfer out,West Daniel,Tax Evasion,6921076260,No Risk,155
2024-03-16,-5208,Account 73075,T345735,Transfer out,Riceton,Fraud,4370871335,Risk,0
2024-10-27,-8384,Account 57605,T331592,Transfer out,Schultzmouth,Investment Scam,4457527789,No Risk,1545
2024-03-21,-4645,Account 60130,T161641,Transfer out,Michaelfort,Tax Evasion,1016267804,No Risk,0
2024-12-06,-3242,Account 25003,T564809,Transfer out,Lake Tarafort,Tax Evasion,7985349686,No Risk,1730
2025-01-04,-2228,Account 45026,T691064,Transfer out,Spencestad,Fraud,4311817287,No Risk,0
2024-10-15,-5175,Account 38656,T364484,Transfer out,Henryfort,Fraud,2588867263,No Risk,0
2024-08-06,-3948,Account 26763,T339810,Transfer out,Port Felicia,Tax Evasion,7747279356,No Risk,0
2024-11-27,-2702,Account 69704,T685124,Transfer out,Odommouth,Fraud,4168966204,No Risk,965
2024-03-15,-4394,Account 70989,T277248,Transfer out,Aprilside,Money Laundering,9286355024,No Risk,505
2024-05-08,-2401,Account 89138,T132676,Transfer out,Fowlerchester,Money Laundering,3686971457,No Risk,517
2024-10-27,-8694,Account 104502,T319922,Transfer out,East Daniel,Tax Evasion,3147177979,No Risk,7937
2024-12-18,-8179,Account 69228,T698730,Transfer out,Port Miguel,Fraud,7602297738,No Risk,5405
2024-02-24,-2596,Account 87350,T566662,Transfer out,North Lawrence,Money Laundering,6484057311,No Risk,0
2024-09-19,-6242,Account 107338,T970637,Transfer out,Victoriamouth,Fraud,1349513493,No Risk,2805
2024-07-28,-7975,Account 31279,T637147,Transfer out,Evanland,Investment Scam,6212927209,No Risk,6640
2024-11-27,-2795,Account 103109,T729947,Transfer out,Brownfort,Investment Scam,8365468091,Risk,0
2025-01-11,-4779,Account 107865,T520732,Transfer out,Jonesport,Tax Evasion,3726412190,No Risk,1359
2024-03-06,-9441,Account 27845,T280133,Transfer out,East Michelle,Fraud,4039928676,Risk,7507
2024-09-01,-3500,Account 95812,T130650,Transfer out,South Michaelmouth,Fraud,6428377687,Risk,0
2024-10-21,-4075,Account 22110,T312596,Transfer out,East Diana,Investment Scam,9905687673,No Risk,2437
2024-07-15,-6249,Account 38824,T997764,Transfer out,South Nathan,Tax Evasion,6255048649,No Risk,2861
2024-10-06,-525,Account 103659,T803634,Transfer out,Port Blakeland,Money Laundering,1546181780,No Risk,0
2024-07-07,-7400,Account 61643,T370951,Transfer out,Williamsmouth,Tax Evasion,2818198242,No Risk,3764
2024-11-06,-7644,Account 81971,T641772,Transfer out,Smithfort,Investment Scam,1558913826,Risk,3904
2024-09-21,-569,Account 55662,T803623,Transfer out,New Tammyfort,Money Laundering,9490390486,No Risk,0
2024-07-12,-3340,Account 82457,T653038,Transfer out,North Kimberly,Tax Evasion,7811013303,No Risk,0
2024-10-01,-9147,Account 73205,T150433,Transfer out,Daleside,Investment Scam,2169328726,No Risk,5870
2024-11-09,-9776,Account 38526,T777073,Transfer out,Lake Elizabeth,Fraud,2804191682,No Risk,1015
2024-10-27,-174,Account 31043,T342077,Transfer out,West Barbarachester,Money Laundering,5608162996,No Risk,0
2024-06-30,-6484,Account 724,T156379,Transfer out,Kevinland,Tax Evasion,7929731347,Risk,0
2024-06-21,-8259,Account 61621,T865393,Transfer out,Davidside,Fraud,2628438480,No Risk,7418
2024-08-12,-2447,Account 84964,T353594,Transfer out,Kevinberg,Money Laundering,3677593316,No Risk,1281
2024-11-28,-1538,Account 15916,T243604,Transfer out,New Kimberly,Fraud,3392908760,Risk,0
2024-06-28,-2431,Account 5236,T806453,Transfer out,Lake Sean,Investment Scam,5689802608,No Risk,0
2024-02-16,-9536,Account 40935,T781879,Transfer out,Tinafurt,Tax Evasion,3201038293,No Risk,4788
2024-02-06,-5111,Account 21325,T564060,Transfer out,West Pamelachester,Tax Evasion,5314315301,Risk,309
2024-05-09,-8720,Account 42443,T295802,Transfer out,East Andremouth,Tax Evasion,3258078138,No Risk,1506
2024-12-27,-3776,Account 3463,T798400,Transfer out,Peckville,Investment Scam,9639692859,No Risk,158
2024-12-25,-3928,Account 52294,T565982,Transfer out,West Blaketown,Investment Scam,2397363974,No Risk,0
2024-10-30,-2365,Account 8928,T602181,Transfer out,Phillipsville,Tax Evasion,9712157282,No Risk,0
2024-03-08,-3334,Account 75816,T458569,Transfer out,South Christopher,Money Laundering,8794330393,No Risk,0
2024-11-24,-2100,Account 18892,T912655,Transfer out,Lake Brittany,Money Laundering,6659680877,No Risk,0
2024-08-10,-521,Account 6100,T865097,Transfer out,South Heatherland,Investment Scam,9655858494,No Risk,0
2024-09-02,-6406,Account 19705,T279691,Transfer out,Wallsview,Investment Scam,6112757173,No Risk,5136
2024-05-13,-9399,Account 64026,T322273,Transfer out,Rhodesport,Fraud,1408075136,Risk,6373
2025-01-01,-8435,Account 91069,T341991,Transfer out,Kimberlymouth,Investment Scam,3883506314,No Risk,7993
2024-05-20,-1598,Account 72887,T557678,Transfer out,Nathanborough,Tax Evasion,3328485677,No Risk,0
2024-12-17,-8075,Account 30609,T693932,Transfer out,North Theodore,Money Laundering,3637821351,No Risk,408
2024-03-03,-9332,Account 45928,T805671,Transfer out,North Cameron,Fraud,7210951318,No Risk,7416
2024-02-04,-5904,Account 19532,T630282,Transfer out,East Trevor,Money Laundering,9028797979,No Risk,0
2024-05-03,-886,Account 80548,T851676,Transfer out,Tammyport,Tax Evasion,6736595727,No Risk,0
2024-09-15,-8485,Account 88416,T627667,Transfer out,Churchstad,Investment Scam,5352004731,Risk,1226
2024-07-05,-8444,Account 31270,T569675,Transfer out,North Timothyberg,Tax Evasion,4459170636,Risk,6130
2024-07-13,-2586,Account 101573,T461790,Transfer out,East Mistymouth,Investment Scam,3242708741,No Risk,1061
2024-11-11,-8146,Account 44226,T530895,Transfer out,North Jose,Tax Evasion,8937562375,Risk,0
2024-02-03,-3553,Account 14574,T300262,Transfer out,Sotoport,Fraud,5747486639,No Risk,0
2024-08-15,-2580,Account 101801,T540402,Transfer out,Lake Randy,Tax Evasion,9951257683,No Risk,0
2024-11-09,-4895,Account 86699,T421302,Transfer out,Moralesbury,Fraud,3842247544,No Risk,1162
2024-01-23,-1435,Account 93794,T964043,Transfer out,Hortonberg,Tax Evasion,4869069177,No Risk,0
2024-09-02,-2983,Account 80629,T422650,Transfer out,New Madeline,Tax Evasion,9832071254,No Risk,227
2025-01-07,-591,Account 48382,T810577,Transfer out,Watersside,Tax Evasion,1857108316,No Risk,0
2024-04-24,-2662,Account 6569,T936894,Transfer out,West Billyport,Fraud,7260908274,No Risk,0
2024-10-07,-4243,Account 78388,T488762,Transfer out,North Andrewview,Investment Scam,9991025396,No Risk,0
2024-05-29,-7305,Account 50713,T103073,Transfer out,Port Jeff,Fraud,4012106244,No Risk,2863
2024-11-06,-6694,Account 81029,T919909,Transfer out,Haasborough,Tax Evasion,5037070580,No Risk,0
2024-11-06,-3577,Account 49699,T625748,Transfer out,East Toddborough,Fraud,6461910718,No Risk,268
2024-09-08,-8653,Account 88680,T799374,Transfer out,Kimberlyfort,Tax Evasion,6727821815,Risk,7843
2024-07-27,-955,Account 47718,T921761,Transfer out,Jasonfort,Tax Evasion,2233218689,Risk,0
2024-04-11,-9637,Account 18178,T486341,Transfer out,Crystalton,Money Laundering,4889656120,No Risk,3541
2024-05-21,-4516,Account 93046,T614645,Transfer out,New Dana,Fraud,3032030154,No Risk,2713
2024-10-10,-1957,Account 32587,T449827,Transfer out,South Joseton,Money Laundering,9741962606,No Risk,0
2024-02-05,-6471,Account 53362,T706817,Transfer out,West Michelle,Tax Evasion,2249041129,No Risk,0
2024-01-29,-2851,Account 37384,T730822,Transfer out,Coleton,Money Laundering,6501486493,No Risk,2625
2024-01-30,-896,Account 20839,T612452,Transfer out,Lake Angela,Investment Scam,4138878777,No Risk,0
2025-01-12,-4997,Account 106698,T669258,Transfer out,Lake Eric,Fraud,3264311031,No Risk,2373
2024-04-30,-9014,Account 9069,T499517,Transfer out,Lake Ryan,Tax Evasion,8416771911,No Risk,7947
2024-07-03,-2982,Account 51336,T558276,Transfer out,Port Jadeshire,Investment Scam,5576418891,No Risk,0
2024-01-26,-9132,Account 23480,T596701,Transfer out,Lloydbury,Investment Scam,8074261942,No Risk,1567
2024-02-10,-8920,Account 72941,T383536,Transfer out,Lake Devinland,Money Laundering,5459852879,No Risk,107
